No	From	To	Tokens	TokenBalance	Block	TxIndex	TxHash
42	0x0000000000000000000000000000000000000000	0x6732f7bec0e6ce62f7edfcd7448cfb2947e6526b	468.06859016712	12878025.087558409089497283	3913150	22	0xdffd60145575492948068db114b8a8107075371e7b9f45a2765db393739b7b0e
43	0x0000000000000000000000000000000000000000	0x700a2ae2e1ebbf33a38763ed9ab73fc0479552c2	1436.04	12879461.127558409089497283	3913150	23	0xefdec78bc7d1870aa8ffb61241b542e1a440802b83b59847c736c73ba94d3a08
44	0x0000000000000000000000000000000000000000	0x3eb244eaa617cffe19d0368ef1a140230e36207b	52.6548	12879513.782358409089497283	3913150	24	0x60d7b790bea247a8065e980cde72e8891bf85161b2aa5a4ebc7c505e7dbfd20a
45	0x0000000000000000000000000000000000000000	0x8a4de532e3364dbba3b555817dc92b48d7064c86	2393.4	12881907.182358409089497283	3913150	30	0x2256fe94013652732dee7e697d045170b2ea369c300db327ae230abdf1f6364b
46	0x0000000000000000000000000000000000000000	0xaf302aa751058797c6ab5249cb83547a6357763a	4786.8	12886693.982358409089497283	3913150	33	0x39bf633186cf564c1c1af51affb32666c343f173fb2333a30775b68be9209b36
47	0x0000000000000000000000000000000000000000	0x0088e8a7bef4ba089c9efc9f07775e3f91b868e7	9573.6	12896267.582358409089497283	3913150	34	0x60efeae43000feb295a8af5bac0be4bb8bff1a2289a89ce22c3aa8bd48d613ec
48	0x0000000000000000000000000000000000000000	0x708b6b354fb7e8a2beab12fb391cfbe6a6a83085	2393.4	12898660.982358409089497283	3913150	35	0x8ee1e3fa95c75c575389081f9a09bf51083de8dcd76b44c84dde689daa2b114e
49	0x0000000000000000000000000000000000000000	0xa7fc01ff59f917db3d77b07ad24bacfcd1943cff	16753.8	12915414.782358409089497283	3913150	42	0x37979dc5f8a3c1364134f55e6b559c0fb8d1c863321cb31adaf8d921173cefcf
50	0x0000000000000000000000000000000000000000	0xa5b5f3d06b2026892fd6b595e80009282ee56c2d	2393.4	12917808.182358409089497283	3913150	49	0xa72f0a13ab0c9fa94d2dfe287608fb686d3374fdab3b463bccde845a6c5c50ea
51	0x0000000000000000000000000000000000000000	0x487088b1e36dc17f5e3c7739b08e8d3c3dac7ff1	95.736	12917903.918358409089497283	3913150	59	0x19061015d85705d3d414402162e2becdd721e69aae2360909a35081978b33cb0
52	0x0000000000000000000000000000000000000000	0xad5220c1afc74f861739b31b3d63532ad1d3ea85	70002.1632	12987906.081558409089497283	3913152	0	0x99d863842f157bbbff5e5afde60b54fe02cc61d0c45f107b32c292797ce62393
